game,winner,selections
1,p0,238
2,p0,131
3,p0,252
4,p0,130
5,p0,229
6,p0,250
7,p1,139
8,p0,203
9,p1,213
10,p1,175
11,p0,241
12,p0,240
13,p0,168
14,p0,222
15,p1,230
16,p0,232
17,p1,271
18,p1,228
19,p1,244
20,p0,189
21,p1,203
22,p0,197
23,p0,242
24,p1,219
25,p0,161
26,p0,135
27,p0,240
28,p0,195
29,p0,200
30,p0,200
31,p1,273
32,p0,266
33,p1,191
34,p0,178
35,p0,209
36,p0,112
37,p1,251
38,p1,29
39,p0,191
40,p0,200
41,p0,151
42,p1,286
43,p0,249
44,p1,356
45,p0,169
46,p1,220
47,p0,169
48,p0,226
49,p1,220
50,p1,293
