game_id,winner,turns,error
g0000,p1,8,
g0001,p1,8,
g0002,p1,8,
g0003,p1,8,
g0004,p1,8,
g0005,p1,8,
g0006,p1,8,
g0007,p1,8,
g0008,p1,8,
g0009,p1,8,
g0010,p1,8,
g0011,p1,8,
g0012,p1,8,
g0013,p1,8,
g0014,p1,8,
g0015,p1,8,
g0016,p1,8,
g0017,p1,8,
g0018,p1,8,
g0019,p1,8,
g0020,p1,8,
g0021,p1,8,
g0022,p1,8,
g0023,p1,8,
g0024,p1,8,
g0025,p1,8,
g0026,p1,8,
g0027,p1,8,
g0028,p1,8,
g0029,p1,8,
g0030,p1,8,
g0031,p1,8,
g0032,p1,8,
g0033,p1,8,
g0034,p1,8,
g0035,p1,8,
g0036,p1,8,
g0037,p1,8,
g0038,p1,8,
g0039,p1,8,
g0040,p1,8,
g0041,p1,8,
g0042,p1,8,
g0043,p1,8,
g0044,p1,8,
g0045,p1,8,
g0046,p1,8,
g0047,p1,8,
g0048,p1,8,
g0049,p1,8,
